dbn,school_name,postcode,state_code,NYCBorough
02M432,Murray Hill Academy,10016,NY,MANHATTAN
02M437,Hudson High School of Learning Technologies,10011,NY,MANHATTAN
02M438,International High School at Union Square,10003,NY,MANHATTAN
02M439,Manhattan Village Academy,10010,NY,MANHATTAN
02M449,Vanguard High School,10065,NY,MANHATTAN
02M459,Manhattan International High School,10065,NY,MANHATTAN
02M475,Stuyvesant High School,10282,NY,MANHATTAN
02M489,High School of Economics and Finance,10006,NY,MANHATTAN
02M500,Unity Center for Urban Technologies,10016,NY,MANHATTAN
02M507,Urban Assembly Gateway School for Technology,10019,NY,MANHATTAN
02M519,Talent Unlimited High School,10065,NY,MANHATTAN
02M520,Murry Bergtraum High School for Business Careers,10038,NY,MANHATTAN
02M529,Jacqueline Kennedy Onassis High School,10036,NY,MANHATTAN
02M531,Repertory Company High School for Theatre Arts,10036,NY,MANHATTAN
02M533,Union Square Academy for Health Sciences,10003,NY,MANHATTAN
02M534,Harvest Collegiate High School,10011,NY,MANHATTAN
02M542,Manhattan Bridges High School,10019,NY,MANHATTAN
02M543,New Design High School,10002,NY,MANHATTAN
02M544,Independence High School,10019,NY,MANHATTAN
02M545,High School for Dual Language and Asian Studies,10002,NY,MANHATTAN
02M546,Academy for Software Engineering (AFSE),10003,NY,MANHATTAN
02M550,Liberty High School Academy for Newcomers,10011,NY,MANHATTAN
02M551,Urban Assembly New York Harbor School,10004,NY,MANHATTAN
02M560,City-As-School,10014,NY,MANHATTAN
02M580,Richard R. Green High School of Teaching,10004,NY,MANHATTAN
02M586,Harvey Milk High School,10003,NY,MANHATTAN
02M600,"High School of Fashion Industries, The",10011,NY,MANHATTAN
02M605,Humanities Preparatory Academy,10011,NY,MANHATTAN
02M615,Chelsea Career and Technical Education High School,10013,NY,MANHATTAN
02M630,Art and Design High School,10019,NY,MANHATTAN
02M655,Life Sciences Secondary School,10128,NY,MANHATTAN
03M291,West End Secondary School,10023,NY,MANHATTAN
03M299,"Maxine Greene High School for Imaginative Inquiry, The",10023,NY,MANHATTAN
03M307,"Urban Assembly School for Media Studies, The",10023,NY,MANHATTAN
03M402,"Urban Assembly School for Green Careers, The",10024,NY,MANHATTAN
03M403,"Global Learning Collaborative, The",10024,NY,MANHATTAN
03M415,Wadleigh Secondary School for the Performing & Visual Arts,10026,NY,MANHATTAN
03M417,Frank McCourt High School,10024,NY,MANHATTAN
03M479,Beacon High School,10036,NY,MANHATTAN
03M485,Fiorello H. LaGuardia High School of Music & Art and Performing Arts,10023,NY,MANHATTAN
03M492,"High School for Law, Advocacy and Community Justice",10023,NY,MANHATTAN
03M494,High School of Arts and Technology,10023,NY,MANHATTAN
03M541,Manhattan / Hunter Science High School,10023,NY,MANHATTAN
03M859,Special Music School,10023,NY,MANHATTAN
03M860,Frederick Douglass Academy II Secondary School,10026,NY,MANHATTAN
04M372,Esperanza Preparatory Academy,10029,NY,MANHATTAN
04M435,Manhattan Center for Science and Mathematics,10029,NY,MANHATTAN
04M495,Park East High School,10029,NY,MANHATTAN
04M555,Central Park East High School,10029,NY,MANHATTAN
04M610,Young Women's Leadership School (TYWLS),10029,NY,MANHATTAN
04M680,"Heritage School, The",10029,NY,MANHATTAN
05M148,Eagle Academy for Young Men of Harlem,10030,NY,MANHATTAN
05M157,"Urban Assembly School for Global Commerce, The",10035,NY,MANHATTAN
05M304,Mott Hall High School,10030,NY,MANHATTAN
05M362,Columbia Secondary School,10027,NY,MANHATTAN
05M369,Urban Assembly School for the Performing Arts,10027,NY,MANHATTAN
05M499,Frederick Douglass Academy,10039,NY,MANHATTAN
05M670,Thurgood Marshall Academy for Learning and Social Change,10030,NY,MANHATTAN
05M692,"High School for Math, Science and Engineering at City College (HSMSE)",10031,NY,MANHATTAN
06M211,Inwood Early College for Health and Information Technologies,10034,NY,MANHATTAN
06M293,City College Academy of the Arts,10040,NY,MANHATTAN
06M346,Community Health Academy of the Heights,10032,NY,MANHATTAN
06M348,Washington Heights Expeditionary Learning School (WHEELS),10033,NY,MANHATTAN
06M423,High School for Excellence and Innovation,10034,NY,MANHATTAN
06M462,"College Academy, The",10040,NY,MANHATTAN
06M463,High School for Media and Communications,10040,NY,MANHATTAN
06M467,High School for Law and Public Service,10040,NY,MANHATTAN
06M468,High School for Health Careers and Sciences,10040,NY,MANHATTAN
06M540,A. Philip Randolph Campus High School,10031,NY,MANHATTAN
06M552,Gregorio Luperon High School for Science and Mathematics,10032,NY,MANHATTAN
07X221,South Bronx Preparatory: A College Board School,10454,NY,BRONX
07X223,"Laboratory School of Finance and Technology, The",10454,NY,BRONX
07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",10455,NY,BRONX
07X334,International Community High School,10454,NY,BRONX
07X427,Community School for Social Justice,10451,NY,BRONX
07X473,Mott Haven Village Preparatory High School,10455,NY,BRONX
07X495,University Heights Secondary School,10455,NY,BRONX
07X500,Hostos-Lincoln Academy of Science,10455,NY,BRONX
07X522,Bronx Design and Construction Academy,10451,NY,BRONX
07X527,Bronx Leadership Academy II High School,10451,NY,BRONX
07X548,Careers in Sports High School,10451,NY,BRONX
07X551,"Urban Assembly Bronx Academy of Letters, The",10451,NY,BRONX
07X600,Alfred E. Smith Career and Technical Education High School,10451,NY,BRONX
07X625,Walkabout Bronx High School,10451,NY,BRONX
07X670,Health Opportunities High School,10451,NY,BRONX
08X269,Bronx Studio School for Writers and Artists,10459,NY,BRONX
08X282,Women's Academy of Excellence,10473,NY,BRONX
08X293,Renaissance High School for Musical Theater and the Arts,10461,NY,BRONX
08X312,Millennium Art Academy,10473,NY,BRONX
08X320,Pelham Lab High School,10461,NY,BRONX
08X348,Schuylerville Preparatory High School,10461,NY,BRONX
08X349,Bronx River High School,10461,NY,BRONX
08X367,"Archimedes Academy for Math, Science and Technology Applications",10473,NY,BRONX
08X376,Antonia Pantoja Preparatory Academy: A College Board School,10473,NY,BRONX
08X405,Herbert H. Lehman High School,10461,NY,BRONX
08X432,Bronx Bridges High School,10473,NY,BRONX
08X452,Gotham Collaborative High School,10473,NY,BRONX
08X530,Longwood Preparatory Academy,10459,NY,BRONX
08X537,Bronx Arena High School,10473,NY,BRONX
08X558,Westchester Square Academy,10461,NY,BRONX
08X559,School for Tourism and Hospitality,10456,NY,BRONX
08X561,Bronx Compass High School,10473,NY,BRONX
09X227,Bronx Collegiate Academy,10457,NY,BRONX
09X231,Eagle Academy for Young Men,10457,NY,BRONX
09X241,"Urban Assembly School for Applied Math and Science, The",10457,NY,BRONX
09X250,Eximius College Preparatory Academy: A College Board School,10456,NY,BRONX
09X252,Mott Hall Bronx High School,10457,NY,BRONX
09X260,Bronx Center for Science and Mathematics,10456,NY,BRONX
09X263,Validus Preparatory Academy,10457,NY,BRONX
09X297,Morris Academy for Collaborative Studies,10456,NY,BRONX
09X324,Bronx Early College Academy for Teaching & Learning,10456,NY,BRONX
09X327,Comprehensive Model School Project M.S. 327,10452,NY,BRONX
